Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0319,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19
EXP_0528,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],18
EXP_0272,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0095,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0181,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0332,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0329,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],29
EXP_0312,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],12
EXP_0006,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0046,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16
EXP_0399,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0577,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0469,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19
EXP_0017,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],17
EXP_0049,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],19
EXP_0580,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10
EXP_0488,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0004,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0487,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0439,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19
EXP_0363,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
